date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:03	2053/2053	---MCZ	200	added ('OK')	text/html	etag:W/%22620b7fe9-805%22	https://termin.geers.de/?flow=store_selection	C:/Users/dell/Downloads/geers_work/termin.geers.de/indexb180.html	(from )
23:04:04	301415/301415	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:02%20GMT	https://www.geers.de/	C:/Users/dell/Downloads/geers_work/www.geers.de/index.html	(from )
23:04:05	224/224	---M-Z	200	added ('OK')	text/plain	date:Thu,%2031%20Mar%202022%2017:34:02%20GMT	https://www.geers.de/robots.txt		(from )
23:04:06	85/85	---M-Z	200	added ('OK')	text/css	etag:%22cssstylesheet|28151aeb-1f4a-498d-b13a-68ff9e1a6222%22	https://www.geers.de/CMSPages/GetResource.ashx?stylesheetname=GruenerHeader	C:/Users/dell/Downloads/geers_work/www.geers.de/CMSPages/GruenerHeader9ce4.css	(from https://www.geers.de/)
23:04:06	134575/134575	---M-Z	200	added ('OK')	text/css	etag:%2280a937a5943d81:0%22	https://www.geers.de/Sonova/css/main-geers-de.min.css?2019-01-09	C:/Users/dell/Downloads/geers_work/www.geers.de/Sonova/css/main-geers-de.min4362.css	(from https://www.geers.de/)
23:04:08	6118/6118	---M--	200	added ('OK')	image/png	etag:0x8D837FA4CB9E54B	https://sonova-retail-media-prd.azureedge.net/media/ml/sonova.geers-de/images/icons/apple-touch-icon.png	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media/ml/sonova.geers-de/images/icons/apple-touch-icon.png	(from https://www.geers.de/)
23:04:08	1327/1327	---M--	200	added ('OK')	image/png	etag:0x8D837FA3A83F410	https://sonova-retail-media-prd.azureedge.net/media/ml/sonova.geers-de/images/icons/favicon-32x32.png	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media/ml/sonova.geers-de/images/icons/favicon-32x32.png	(from https://www.geers.de/)
23:04:09	6499/6499	---M--	200	added ('OK')	image/png	etag:0x8D837FA3CD6DAC1	https://sonova-retail-media-prd.azureedge.net/media/ml/sonova.geers-de/images/icons/android-chrome-192x192.png	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media/ml/sonova.geers-de/images/icons/android-chrome-192x192.png	(from https://www.geers.de/)
23:04:09	914/914	---M--	200	added ('OK')	image/png	etag:0x8D837FA39B8B741	https://sonova-retail-media-prd.azureedge.net/media/ml/sonova.geers-de/images/icons/favicon-16x16.png	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media/ml/sonova.geers-de/images/icons/favicon-16x16.png	(from https://www.geers.de/)
23:04:10	1758/1758	---M--	200	added ('OK')	application/manifest+json	etag:%2262e944d5943d81:0%22	https://www.geers.de/webmanifests/geers_de.webmanifest	C:/Users/dell/Downloads/geers_work/www.geers.de/webmanifests/geers_de.webmanifest	(from https://www.geers.de/)
23:04:10	5317/5317	---M--	200	added ('OK')	image/png	etag:0x8D837FA29598A12	https://sonova-retail-media-prd.azureedge.net/media/ml/sonova.geers-de/images/icons/mstile-144x144.png	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media/ml/sonova.geers-de/images/icons/mstile-144x144.png	(from https://www.geers.de/)
23:04:10	23964/23964	---M-Z	200	added ('OK')	application/x-javascript	etag:0x8DA00320B94F1F6	https://cdn.cookielaw.org/consent/d6248369-eebc-4847-846f-8e84342e54b9/OtAutoBlock.js	C:/Users/dell/Downloads/geers_work/cdn.cookielaw.org/consent/d6248369-eebc-4847-846f-8e84342e54b9/OtAutoBlock.js	(from https://www.geers.de/)
23:04:11	20242/20242	---M-Z	200	added ('OK')	application/javascript	etag:0x8DA128271D7010B	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/dell/Downloads/geers_work/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.geers.de/)
23:04:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2031%20Mar%202022%2017:34:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/dell/Downloads/geers_work/www.googletagmanager.com/gtm.a5445.delayed	(from https://www.geers.de/)
23:04:11	171/171	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Mar%202022%2017:34:12%20GMT	http://s7.addthis.com/js/300/addthis_widget.js	C:/Users/dell/Downloads/geers_work/s7.addthis.com/js/300/addthis_widget.b.delayed	(from https://www.geers.de/)
23:04:12	361292/361292	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f971164-5834c%22	https://s7.addthis.com/js/300/addthis_widget.js	C:/Users/dell/Downloads/geers_work/s7.addthis.com/js/300/addthis_widget.js	(from https://www.geers.de/)
23:04:13	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2002%20Feb%202022%2019:14:08%20GMT	https://www.geers.de/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZH2SFpHQA4OhRk-X_-ySPfIRr0mXp3HULrifMnivQhDiC6huyDVakTO8DLx5pPZxBQ2&t=637794260480358989	C:/Users/dell/Downloads/geers_work/www.geers.de/WebResourcec6ba.js	(from https://www.geers.de/)
23:04:14	326/326	---M-Z	200	added ('OK')	application/x-javascript	etag:%22file|3/29/2022%2010:37:20%20AM%22	https://www.geers.de/CMSPages/GetResource.ashx?scriptfile=%7e%2fCMSScripts%2fWebServiceCall.js	C:/Users/dell/Downloads/geers_work/www.geers.de/CMSPages/WebServiceCall2bfa.js	(from https://www.geers.de/)
23:04:15	102804/102804	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2031%20Mar%202022%2017:05:51%20GMT	https://www.geers.de/ScriptResource.axd?d=NJmAwtEo3Ipnlaxl6CMhvqtNEPvIFi2u6QszGGYfoXu0V65r_0KjtwuZ5fWtVoeVf8u09wEmkH08r3PBCrSjTXvqzIKb-KmdjUT8kWtTPnwTlNcexchV2FPyvIR_8olBu_NZmQzCSbNxI20Iw8AbveIX4mDF0ri0OGoO6BRo-BA1&t=ffffffff8333b97c	C:/Users/dell/Downloads/geers_work/www.geers.de/ScriptResource58d1.js	(from https://www.geers.de/)
23:04:16	40329/40329	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2031%20Mar%202022%2017:05:53%20GMT	https://www.geers.de/ScriptResource.axd?d=dwY9oWetJoJoVpgL6Zq8OMWvYm_uPJ-Rx92G5OAYQ66emstJJWgvb_fR447C_sX7WntJyeL1rDOtJy2km2iPAzolK_KbXR3gn1KAosQQUgTD43A-8v1kG5-6HTD-nCwcL1Bd2jt8q-I4jLNlpmvY4cLyZvyXofNE7Jx5wGcGCWw1&t=ffffffff8333b97c	C:/Users/dell/Downloads/geers_work/www.geers.de/ScriptResource602b.js	(from https://www.geers.de/)
23:04:17	3839/3839	---M-Z	200	added ('OK')	application/javascript	etag:%22070bdf75843d81:0%22	https://www.geers.de/CMSScripts/Sonova/predictive-search.min.js	C:/Users/dell/Downloads/geers_work/www.geers.de/CMSScripts/Sonova/predictive-search.min.js	(from https://www.geers.de/)
23:04:19	232743/232743	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:19%20GMT	https://www.geers.de/termin-vereinbaren/	C:/Users/dell/Downloads/geers_work/www.geers.de/termin-vereinbaren/index.html	(from https://www.geers.de/)
23:04:19	47448/47448	---M--	200	added ('OK')	image/jpeg	etag:0x8D976886313F192	https://sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/buehnen/buehne-tg-dirigent-mobil.jpg	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/buehnen/buehne-tg-dirigent-mobil.jpg	(from https://www.geers.de/)
23:04:20	442254/442254	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:18%20GMT	https://www.geers.de/hoergeraete/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete/index.html	(from https://www.geers.de/)
23:04:21	302447/302447	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:19%20GMT	https://www.geers.de/hoergeraete/typen/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete/typen/index.html	(from https://www.geers.de/)
23:04:21	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Mar%202022%2017:34:22%20GMT	https://www.geers.de/termin-vereinbaren	C:/Users/dell/Downloads/geers_work/www.geers.de/termin-vereinbaren.13.delayed	(from https://www.geers.de/)
23:04:23	633484/633484	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:18%20GMT	https://www.geers.de/hoergeraete/preise/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete/preise/index.html	(from https://www.geers.de/)
23:04:23	252115/252115	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:21%20GMT	https://www.geers.de/hoergeraete/hoergeraete-finanzierung/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete/hoergeraete-finanzierung/index.html	(from https://www.geers.de/)
23:04:24	241418/241418	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:22%20GMT	https://www.geers.de/hoergeraete/wieviel-zahlt-die-krankenkasse/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete/wieviel-zahlt-die-krankenkasse/index.html	(from https://www.geers.de/)
23:04:24	501806/501806	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:23%20GMT	https://www.geers.de/hoergeraete/hoergeraete-zum-nulltarif/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete/hoergeraete-zum-nulltarif/index.html	(from https://www.geers.de/)
23:04:25	53677/53677	---M--	200	added ('OK')	image/jpeg	etag:0x8D9F05AB7C2721D	https://sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/buehnen/t30-nulltarif-buehne-382x650.jpg	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/buehnen/t30-nulltarif-buehne-382x650.jpg	(from https://www.geers.de/)
23:04:26	51615/51615	---M--	200	added ('OK')	image/jpeg	etag:0x8D9D1C4D167B57E	https://sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/buehnen/hoerfreunde-homepage-buehne-382x650.jpg	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/buehnen/hoerfreunde-homepage-buehne-382x650.jpg	(from https://www.geers.de/)
23:04:27	285107/285107	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:26%20GMT	https://www.geers.de/hoergeraete/bluetooth-akku/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete/bluetooth-akku/index.html	(from https://www.geers.de/)
23:04:27	0/-1	---M--	301	error ('')			https://www.geers.de/termin-vereinbaren	C:/Users/dell/Downloads/geers_work/www.geers.de/termin-vereinbaren.16.delayed	(from https://www.geers.de/)
23:04:29	223532/223532	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:25%20GMT	https://www.geers.de/hoergeraete/marken/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete/marken/index.html	(from https://www.geers.de/)
23:04:29	223428/223428	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:28%20GMT	https://www.geers.de/hoergeraete/geers-services/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete/geers-services/index.html	(from https://www.geers.de/)
23:04:29	0/-1	---M--	301	error ('')			https://www.geers.de/termin-vereinbaren	C:/Users/dell/Downloads/geers_work/www.geers.de/termin-vereinbaren.17.delayed	(from https://www.geers.de/)
23:04:32	282332/282332	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:28%20GMT	https://www.geers.de/gehoerschutz/	C:/Users/dell/Downloads/geers_work/www.geers.de/gehoerschutz/index.html	(from https://www.geers.de/)
23:04:32	215906/215906	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:30%20GMT	https://www.geers.de/gehoerschutz/musik/	C:/Users/dell/Downloads/geers_work/www.geers.de/gehoerschutz/musik/index.html	(from https://www.geers.de/)
23:04:32	222616/222616	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:31%20GMT	https://www.geers.de/gehoerschutz/schlafen/	C:/Users/dell/Downloads/geers_work/www.geers.de/gehoerschutz/schlafen/index.html	(from https://www.geers.de/)
23:04:33	852984/852984	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:25%20GMT	https://www.geers.de/vergleich/	C:/Users/dell/Downloads/geers_work/www.geers.de/vergleich/index.html	(from https://www.geers.de/)
23:04:34	40283/40283	---M--	200	added ('OK')	image/jpeg	etag:0x8D99AAD29C9F884	https://sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/beratung/herr-post-video-preview.jpg	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/beratung/herr-post-video-preview.jpg	(from https://www.geers.de/)
23:04:34	215395/215395	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:33%20GMT	https://www.geers.de/gehoerschutz/schwimmen/	C:/Users/dell/Downloads/geers_work/www.geers.de/gehoerschutz/schwimmen/index.html	(from https://www.geers.de/)
23:04:35	187130/187130	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:34%20GMT	https://www.geers.de/gehoerschutz/arbeiten-und-freizeit/	C:/Users/dell/Downloads/geers_work/www.geers.de/gehoerschutz/arbeiten-und-freizeit/index.html	(from https://www.geers.de/)
23:04:35	217091/217091	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:34%20GMT	https://www.geers.de/gehoerschutz/reisen-und-motorenlaerm/	C:/Users/dell/Downloads/geers_work/www.geers.de/gehoerschutz/reisen-und-motorenlaerm/index.html	(from https://www.geers.de/)
23:04:36	215605/215605	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:35%20GMT	https://www.geers.de/gehoerschutz/angepasster-gehoerschutz/	C:/Users/dell/Downloads/geers_work/www.geers.de/gehoerschutz/angepasster-gehoerschutz/index.html	(from https://www.geers.de/)
23:04:36	203491/203491	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:36%20GMT	https://www.geers.de/hoergeraete-batterien-zubehoer/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete-batterien-zubehoer/index.html	(from https://www.geers.de/)
23:04:37	235387/235387	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:36%20GMT	https://www.geers.de/hoergeraete-batterien-zubehoer/roger-technologie/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete-batterien-zubehoer/roger-technologie/index.html	(from https://www.geers.de/)
23:04:37	82665/82665	---M--	200	added ('OK')	image/jpeg	etag:0x8D971F5850A199A	https://sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/kampagnen/h2-geers-experten-drei.jpg	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/kampagnen/h2-geers-experten-drei.jpg	(from https://www.geers.de/)
23:04:38	200637/200637	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:36%20GMT	https://www.geers.de/hoergeraete-batterien-zubehoer/hoergeraetezubehoer/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete-batterien-zubehoer/hoergeraetezubehoer/index.html	(from https://www.geers.de/)
23:04:39	244296/244296	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:37%20GMT	https://www.geers.de/hoergeraete-batterien-zubehoer/hoergeraetebatterien/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete-batterien-zubehoer/hoergeraetebatterien/index.html	(from https://www.geers.de/)
23:04:39	224717/224717	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:37%20GMT	https://www.geers.de/hoergeraete-batterien-zubehoer/pflegezubehoer/	C:/Users/dell/Downloads/geers_work/www.geers.de/hoergeraete-batterien-zubehoer/pflegezubehoer/index.html	(from https://www.geers.de/)
23:04:41	51498/51498	---M--	200	added ('OK')	image/jpeg	etag:0x8D900B2BC8C56F5	https://sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/kampagnen/phonak-virto-black-with-phone-bg.jpg	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/kampagnen/phonak-virto-black-with-phone-bg.jpg	(from https://www.geers.de/)
23:04:43	199056/199056	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:40%20GMT	https://www.geers.de/brauche-ich-ein-hoergeraet/	C:/Users/dell/Downloads/geers_work/www.geers.de/brauche-ich-ein-hoergeraet/index.html	(from https://www.geers.de/)
23:04:43	138/138	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Mar%202022%2017:34:39%20GMT	https://www.geers.de/shop.geers.de/	C:/Users/dell/Downloads/geers_work/www.geers.de/shop.geers.de/index.html	(from https://www.geers.de/)
23:04:44	264832/264832	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:44%20GMT	https://www.geers.de/brauche-ich-ein-hoergeraet/hoertest/	C:/Users/dell/Downloads/geers_work/www.geers.de/brauche-ich-ein-hoergeraet/hoertest/index.html	(from https://www.geers.de/)
23:04:46	95798/95798	---M--	200	added ('OK')	image/jpeg	etag:0x8D900B267591EA1	https://sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/kampagnen/h2-katharina.jpg	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/kampagnen/h2-katharina.jpg	(from https://www.geers.de/)
23:04:47	200552/200552	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:43%20GMT	https://www.geers.de/brauche-ich-ein-hoergeraet/hoertest-online/	C:/Users/dell/Downloads/geers_work/www.geers.de/brauche-ich-ein-hoergeraet/hoertest-online/index.html	(from https://www.geers.de/)
23:04:48	245600/245600	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:45%20GMT	https://www.geers.de/brauche-ich-ein-hoergeraet/bedarf/	C:/Users/dell/Downloads/geers_work/www.geers.de/brauche-ich-ein-hoergeraet/bedarf/index.html	(from https://www.geers.de/)
23:04:48	289179/289179	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:47%20GMT	https://www.geers.de/brauche-ich-ein-hoergeraet/hoergeraete-testen/	C:/Users/dell/Downloads/geers_work/www.geers.de/brauche-ich-ein-hoergeraet/hoergeraete-testen/index.html	(from https://www.geers.de/)
23:04:49	263521/263521	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:48%20GMT	https://www.geers.de/brauche-ich-ein-hoergeraet/was-bringen-hoergeraete/	C:/Users/dell/Downloads/geers_work/www.geers.de/brauche-ich-ein-hoergeraet/was-bringen-hoergeraete/index.html	(from https://www.geers.de/)
23:04:49	19564/19564	---M--	200	added ('OK')	image/jpeg	etag:0x8D8FFEF6C5CA379	https://sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/beratung/geers-hdo-ido-vergleich-hand.jpg	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/beratung/geers-hdo-ido-vergleich-hand.jpg	(from https://www.geers.de/)
23:04:50	202453/202453	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:49%20GMT	https://www.geers.de/das-richtige-hoergeraet/	C:/Users/dell/Downloads/geers_work/www.geers.de/das-richtige-hoergeraet/index.html	(from https://www.geers.de/)
23:04:50	241165/241165	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:49%20GMT	https://www.geers.de/das-richtige-hoergeraet/hoergeraeteakustiker/	C:/Users/dell/Downloads/geers_work/www.geers.de/das-richtige-hoergeraet/hoergeraeteakustiker/index.html	(from https://www.geers.de/)
23:04:51	332778/332778	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:50%20GMT	https://www.geers.de/das-richtige-hoergeraet/weg-zum-hoergeraet/	C:/Users/dell/Downloads/geers_work/www.geers.de/das-richtige-hoergeraet/weg-zum-hoergeraet/index.html	(from https://www.geers.de/)
23:04:51	227833/227833	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:50%20GMT	https://www.geers.de/das-richtige-hoergeraet/warum-zu-geers/	C:/Users/dell/Downloads/geers_work/www.geers.de/das-richtige-hoergeraet/warum-zu-geers/index.html	(from https://www.geers.de/)
23:04:52	17821/17821	---M--	200	added ('OK')	image/jpeg	etag:0x8D8FFEF6D3D685C	https://sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/beratung/geers-services-beratung.jpg	C:/Users/dell/Downloads/geers_work/sonova-retail-media-prd.azureedge.net/media-new/ml/sonova.geers-de/images/beratung/geers-services-beratung.jpg	(from https://www.geers.de/)
23:04:52	209870/209870	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:51%20GMT	https://www.geers.de/das-richtige-hoergeraet/tipps-fuer-angehoerige/	C:/Users/dell/Downloads/geers_work/www.geers.de/das-richtige-hoergeraet/tipps-fuer-angehoerige/index.html	(from https://www.geers.de/)
23:04:53	271974/271974	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:51%20GMT	https://www.geers.de/das-richtige-hoergeraet/hoergeraete-kaufen/	C:/Users/dell/Downloads/geers_work/www.geers.de/das-richtige-hoergeraet/hoergeraete-kaufen/index.html	(from https://www.geers.de/)
23:04:53	464614/464614	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2017:34:52%20GMT	https://www.geers.de/das-richtige-hoergeraet/hoergeraete-finder/	C:/Users/dell/Downloads/geers_work/www.geers.de/das-richtige-hoergeraet/hoergeraete-finder/index.html	(from https://www.geers.de/)
